ID,NOMBRE_COMPLETO,NIVEL,GRADO,SECCION,FECHA,HORA,LAPTOP,TIMESTAMP
A009,Carlos Ramírez Flores,Primaria,4,A,2026-01-17,02:15:44,LAPTOP_A,2026-01-17 02:15:44
A006,Carmen Fernández García,Primaria,4,A,2026-01-17,02:15:57,LAPTOP_A,2026-01-17 02:15:57
A013,Diego Morales Reyes,Primaria,4,A,2026-01-17,02:16:06,LAPTOP_A,2026-01-17 02:16:06
A018,Emma Guzmán Rojas,Primaria,4,A,2026-01-17,02:16:12,LAPTOP_A,2026-01-17 02:16:12
A012,Lucía Rivera Castillo,Primaria,4,A,2026-01-17,02:16:20,LAPTOP_A,2026-01-17 02:16:20
A005,Luis Rodríguez Fernández,Primaria,4,A,2026-01-17,02:17:48,LAPTOP_A,2026-01-17 02:17:48
A002,María García López,Primaria,4,A,2026-01-17,02:17:53,LAPTOP_A,2026-01-17 02:17:53
A020,Martina Rojas García,Primaria,4,A,2026-01-17,02:17:57,LAPTOP_A,2026-01-17 02:17:57
A019,Santiago Silva Pérez,Primaria,4,A,2026-01-17,02:18:11,LAPTOP_A,2026-01-17 02:18:11
A010,Sofía Torres Rivera,Primaria,4,A,2026-01-17,02:22:50,LAPTOP_A,2026-01-17 02:22:50
A009,Carlos Ramírez Flores,Primaria,4,A,2026-01-17,23:49:31,LAPTOP_A,2026-01-17 23:49:31
A006,Carmen Fernández García,Primaria,4,A,2026-01-17,23:49:38,LAPTOP_A,2026-01-17 23:49:38
A013,Diego Morales Reyes,Primaria,4,A,2026-01-17,23:49:43,LAPTOP_A,2026-01-17 23:49:43
A018,Emma Guzmán Rojas,Primaria,4,A,2026-01-17,23:49:47,LAPTOP_A,2026-01-17 23:49:47
A012,Lucía Rivera Castillo,Primaria,4,A,2026-01-17,23:49:51,LAPTOP_A,2026-01-17 23:49:51
